账号,制作人,发布类型,发布日期,标题,爆款,阅读,点赞,收藏,评论,分享,笔记涨粉
"北美省钱快报","Jade","","8/6","Google再败诉‼️被裁定违反美国反垄断法🈲",FALSE,"2653","17","0","3","7","0"
"北美省钱快报","Jade","","8/6","尴尬😂Lululemon新品成笑柄🍋总部紧急下架",TRUE,"199800","283","57","57","119","75"
"北美省钱快报","Jade","","8/6","✈️回国机票降价啦‼️🇺🇸🇨🇳",FALSE,"5630","45","22","12","57","2"
"北美省钱快报","Jade","","8/5","🌙中秋节已到达Costco🥮蛋黄月饼谁不爱🤤",FALSE,"7823","41","25","5","28","6"
"北美省钱快报","Jade","","8/5","干货‼️1分钟自测让你口红色号再也不翻车🥰",FALSE,"1273","27","15","1","4","2"
"北美省钱快报","Jade","","8/5","速查冰箱‼️食品局正召回熟食肉类产品⚠️",FALSE,"5145","45","17","2","112","3"
"北美省钱快报","Jade","","8/5","罕见‼️全球股市暴跌📈",FALSE,"5225","27","1","4","32","2"
"北美省钱快报","Jade","","8/5","薅他‼️星巴克一律3刀🌟周二不见不散🩷",TRUE,"13100","130","40","42","337","28"
"北美省钱快报","Jade","","8/2","清爽夏日🍃从Aldi这10款宝藏冰淇淋开始🍦🤤",TRUE,"10400","107","86","8","51","18"
"北美省钱快报","Jade","","8/2","入境🇺🇸这些东西千万别带❌小心进小黑屋😰",FALSE,"7987","109","116","17","52","11"
"北美省钱快报","Jade","","8/2","手慢无‼️超🔥lulu🍋磁吸包上新‼️隔壁已断货",FALSE,"8003","40","13","26","44","5"
"北美省钱快报","Jade","","8/2","美国大学zui赚钱专业排名‼️你选对了吗🤔",FALSE,"2163","23","6","6","19","0"
"北美省钱快报","Jade","","8/1","韩国超火零食TOP 10‼️Hmart一站购齐🔥",TRUE,"13000","162","153","2","54","16"
"北美省钱快报","Jade","","8/1","🐎住‼️常用美国理发英语词汇&术语大汇总🧾",FALSE,"2062","68","77","0","9","0"
